log_file	variant	topology	nodes	scenario	seed
log_CLUSTERIDS_grid_50nodes_wormhole_seed20260608.log	CLUSTERIDS	grid	50	wormhole	20260608
log_CLUSTERIDS_grid_50nodes_wormhole_seed20260609.log	CLUSTERIDS	grid	50	wormhole	20260609
log_CLUSTERIDS_grid_50nodes_wormhole_seed20260610.log	CLUSTERIDS	grid	50	wormhole	20260610
log_CLUSTERIDS_grid_50nodes_wormhole_seed20260611.log	CLUSTERIDS	grid	50	wormhole	20260611
log_CLUSTERIDS_grid_50nodes_wormhole_seed20260612.log	CLUSTERIDS	grid	50	wormhole	20260612
log_CLUSTERIDS_grid_50nodes_wormhole_seed20260613.log	CLUSTERIDS	grid	50	wormhole	20260613
log_CLUSTERIDS_grid_50nodes_wormhole_seed20260614.log	CLUSTERIDS	grid	50	wormhole	20260614
log_CLUSTERIDS_grid_50nodes_wormhole_seed20260615.log	CLUSTERIDS	grid	50	wormhole	20260615
log_CLUSTERIDS_grid_50nodes_wormhole_seed20260616.log	CLUSTERIDS	grid	50	wormhole	20260616
log_CLUSTERIDS_grid_50nodes_wormhole_seed20260617.log	CLUSTERIDS	grid	50	wormhole	20260617
log_CLUSTERIDS_grid_50nodes_wormhole_seed20260618.log	CLUSTERIDS	grid	50	wormhole	20260618
log_CLUSTERIDS_grid_50nodes_wormhole_seed20260619.log	CLUSTERIDS	grid	50	wormhole	20260619
log_CLUSTERIDS_grid_50nodes_wormhole_seed20260620.log	CLUSTERIDS	grid	50	wormhole	20260620
log_CLUSTERIDS_grid_50nodes_wormhole_seed20260621.log	CLUSTERIDS	grid	50	wormhole	20260621
